,in_deg,out_deg,betweenness,clustering,total_excess_min,n_legs_dispatched,median_dwell,pct_network_delay,name
IND000000AAL,1,1,0.0,0.0,1081.0,18.0,87.5,0.0373982057856166,Pune_PC (Maharashtra)
IND000000AAQ,0,1,0.0,0.0,142.0,2.0,302.0,0.004912622776648989,Barasat_KrshnNgr_D (West Bengal)
IND000000AAS,1,1,0.004838624906380985,0.0,288.0,9.0,38.0,0.009963629293485274,Bongaigaon_Chpaguri_D (Assam)
IND000000AAZ,2,2,0.002423144810550151,0.16666666666666666,361.0,2.0,23.5,0.012489132551903417,Buldhana_Thsil3PL_D (Maharashtra)
IND000000ABA,1,1,0.0006082498609401759,0.5,89.0,7.0,41.0,0.003079038219167324,Cochin_Chtrpuza_D (Kerala)
IND000000ABD,1,1,0.0006049649832033252,0.0,3364.0,12.0,67.5,0.11638072549751549,Pallakad_ChndrNgr_D (Kerala)
IND000000ABG,0,1,0.0,0.0,1938.0,11.0,48.0,0.06704692212074466,Hyderabad_Bownplly_C (Telangana)
IND000000ACA,13,9,0.012093824867838419,0.08,7557.0,128.0,104.5,0.26144148114884797,Ludhiana_MilrGanj_HB (Punjab)
IND000000ACB,45,49,0.33044425520531884,0.026509912402028584,424479.0,1063.0,155.0,14.685247912740747,Gurgaon_Bilaspur_HB (Haryana)
IND000000ACK,0,1,0.0,0.0,1687.0,32.0,67.0,0.05836334242399187,Hyderabad_Chikdply_C (Telangana)
IND000000ACN,1,1,0.0,0.0,580.0,16.0,56.5,0.020065642327157844,Hyderabad_Mhdiptnm_C (Telangana)
IND000000ACO,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Kasaragod_Nullipad_D (Kerala)
IND000000ACS,4,0,0.0,0.5,0.0,0.0,0.0,0.0,BLR_HSR_Layout_PC (Karnataka)
IND000000ACT,0,3,0.0,1.0,8593.0,160.0,104.0,0.2972828698573575,Delhi_Gateway_HB (Delhi)
IND000000ADM,1,1,0.0,0.0,60.0,1.0,29.0,0.002075756102809432,Cochin_Kdvantra_D (Kerala)
IND000000ADV,0,1,0.0,0.0,741.0,18.0,49.0,0.025635587869696486,Chennai_Mdhavram_C (Tamil Nadu)
IND000000AEL,1,1,0.0,0.0,1670.0,17.0,152.0,0.05777521152819586,Delhi_PunjabiB_L (Delhi)
IND000000AEM,0,2,0.0,0.0,2095.0,22.0,125.5,0.072478483923096,Gurgaon_Bilaspur_RP (Haryana)
IND000000AET,1,1,0.004841909784117835,0.0,541.0,8.0,36.0,0.018716400860331713,Barpeta_ShivBari_D (Assam)
IND000000AFF,1,1,0.0,0.0,205.0,3.0,24.0,0.007092166684598893,Darjeeling_Hillcard_DC (West Bengal)
IND000000AFG,0,2,0.0,0.0,205.0,4.0,14.0,0.007092166684598893,Tirur_PmthuKlm_D (Kerala)
IND000000AFJ,1,2,1.0949592456168782e-06,0.5,81.0,21.0,41.0,0.002802270738792733,Trivandrum_Pettah_D (Kerala)
IND000000AFR,0,1,0.0,0.0,326.0,8.0,11.5,0.011278274825264582,Cochin_PanditRd_D (Kerala)
IND000000AFS,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Mumbai_Skynet_INT (Maharashtra)
IND000000AFT,5,8,0.007270529390896071,0.0684931506849315,2680.0,84.0,30.5,0.09271710592548797,Mumbai_Sanpada_I (Maharashtra)
IND110005AAA,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Delhi_Todapur_DC (Delhi)
IND110014AAA,1,1,0.0,0.0,268.0,11.0,33.0,0.009271710592548797,Delhi_Bhogal (Delhi)
IND110020AAB,1,1,0.0,0.0,657.0,4.0,470.0,0.02272952932576328,OK_RPC (Delhi)
IND110024AAA,3,1,0.0006093448201857927,0.1,82.0,9.0,28.0,0.0028368666738395575,Delhi_Lajpat_IP (Delhi)
IND110030AAD,2,1,0.0,0.5,979.0,7.0,27.0,0.03386942041084057,Delhi_Kishangarh_DPC (Delhi)
IND110035AAC,1,1,0.0,0.0,40.0,3.0,286.0,0.0013838374018729548,Delhi_North_R_8 (Delhi)
IND110037AAB,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Del_B_RPC (Delhi)
IND110037AAK,1,1,0.0,0.0,4434.0,43.0,159.0,0.15339837599761705,Delhi_Kapshera_L (Delhi)
IND110037AAM,21,24,0.062015253539556434,0.04350051177072672,44868.0,256.0,151.0,1.5522504136808934,Delhi_Airport_H (Delhi)
IND110039AAA,1,1,0.0,0.0,151.0,3.0,81.0,0.005223986192070404,Delhi_Barwala (Delhi)
IND110043AAA,3,2,0.0018181798273468265,0.0,1402.0,38.0,35.5,0.048503500935647065,Delhi_Nangli_IP (Delhi)
IND110043AAC,1,1,0.0,0.0,36.0,1.0,139.0,0.0012454536616856593,Delhi_Nangli_L (Delhi)
IND110044AAB,2,6,0.003910464452513078,0.26785714285714285,6953.0,172.0,71.5,0.24054553638056636,Del_Okhla_PC (Delhi)
IND110046AAA,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Delhi_Lajwanti (Delhi)
IND110052AAA,1,1,0.0,0.0,569.0,10.0,111.5,0.01968508704164278,Delhi_Wazirpur_L (Delhi)
IND110064AAA,2,3,0.0012175946811259686,0.1111111111111111,11624.0,42.0,30.5,0.40214314898428066,Delhi_Mayapuri_PC (Delhi)
IND110064AAB,1,0,0.0,0.0,0.0,0.0,0.0,0.0,KN_RPC (Delhi)
IND110077AAA,0,1,0.0,0.0,5.0,1.0,57.0,0.00017297967523411935,Delhi_Palam (Delhi)
IND110078AAA,1,1,0.0,0.0,602.0,14.0,46.0,0.02082675289818797,Janakpuri (Delhi)
IND110083AAA,1,1,0.0,0.0,33.0,1.0,102.0,0.0011416658565451877,Delhi_Mangol_DC (Delhi)
IND110085AAA,1,0,0.0,0.0,0.0,0.0,0.0,0.0,North Delhi (Delhi)
IND110085AAB,4,5,0.00364073949167612,0.030303030303030304,1293.0,18.0,18.0,0.04473254401554326,Delhi_Rohini_DPC (Delhi)
IND110087AAA,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Delhi_Paschim_DC (Delhi)
IND110092AAC,3,2,0.001213214844143501,0.125,510.0,7.0,33.0,0.01764392687388017,Delhi_Patparganj_DPC (Delhi)
IND110093AAA,1,1,0.0,0.0,40.0,1.0,30.0,0.0013838374018729548,Delhi_Shahdara (Delhi)
IND110095AAB,1,1,0.0,0.0,37.0,1.0,57.0,0.0012800495967324832,Delhi_Jhilmil_L (Delhi)
IND121001AAA,1,1,0.0,0.0,441.0,27.0,16.0,0.015256807355649327,Faridabad (Haryana)
IND121002AAA,1,1,0.0,0.0,217.0,1.0,36.0,0.00750731790516078,Faridabad_Old (Haryana)
IND121002AAB,1,1,0.0,0.0,2907.0,29.0,75.0,0.10057038318111698,Faridabad_Mthurard_L (Haryana)
IND121004AAA,1,1,0.0,0.0,346.0,10.0,77.5,0.011970193526201059,Faridabad_Blbgarh_DC (Haryana)
IND121004AAB,9,7,0.0073370712813797916,0.022123893805309734,5829.0,169.0,30.0,0.20165970538793634,FBD_Balabhgarh_DPC (Haryana)
IND121004AAC,1,1,0.0,0.0,307.0,6.0,18.0,0.010620952059374928,Faridabad_MohnVRTL_D (Haryana)
IND121102AAA,1,1,0.0,0.0,1126.0,12.0,50.0,0.038955022862723676,Palwal (Haryana)
IND122001AAA,2,5,0.0031105285932986255,0.075,722.0,26.0,40.5,0.024978265103806834,GGN_DPC (Haryana)
IND122001AAD,1,1,0.0,0.5,227.0,10.0,11.5,0.007853277255629018,Gurgaon_Kadipur (Haryana)
IND122001AAJ,1,1,0.0018198222662152515,0.0,-158.0,13.0,12.0,-0.005466157737398171,Mahbubabad_Yellanda_D (Telangana)
IND122002AAD,0,1,0.0,0.0,57.0,2.0,24.0,0.001971968297668961,Gurgaon_Central_D_15 (Haryana)
IND122004AAA,0,2,0.0,0.0,1339.0,44.0,41.5,0.046323957027697156,Gurgaon_Begumpur_CP (Haryana)
IND122015AAC,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
IND122050AAA,2,0,0.0,0.5,0.0,0.0,0.0,0.0,Gurgaon_Manesar (Haryana)
IND122101AAC,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Gurgaon_SohnaRd_D (Haryana)
IND122413AAE,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Gurgaon_Bilaspur_P (Haryana)
IND122503AAA,1,1,0.0006060599424489422,0.0,190.0,2.0,104.5,0.0065732276588965355,Pataudi_DC (Haryana)
IND123001AAA,2,1,0.0024242397697957683,0.16666666666666666,442.0,13.0,27.0,0.01529140329069615,Narnaul_DC (Haryana)
IND123106AAB,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Dharuhera_Central_DPP_2 (Haryana)
IND123401AAB,1,2,0.002420954892058918,0.0,676.0,13.0,29.0,0.023386852091652935,Rewari_YuktiDPP_D (Haryana)
IND124001AAB,1,1,0.0018231071439521022,0.0,307.0,4.0,37.0,0.010620952059374928,Rohtak (Haryana)
IND124103AAA,1,1,0.0,0.5,434.0,9.0,12.0,0.01501463581032156,Jhajjar_DC (Haryana)
IND124112AAA,1,3,0.0,0.5833333333333334,379.0,8.0,25.5,0.013111859382746246,Meham_GModDPP_D (Haryana)
IND124141AAA,1,1,0.0018132525107415508,0.0,823.0,10.0,20.5,0.028472454543536044,ChrkhiDdri_PuranDPP_D (Haryana)
IND124507AAA,2,2,0.001213214844143501,0.0,821.0,12.0,42.5,0.028403262673442394,Bahadurgarh_DC (Haryana)
IND125001AAA,7,8,0.0134800343935395,0.06372549019607843,9171.0,46.0,87.5,0.3172793203144217,Hisar_ModelTwn_P (Haryana)
IND125005AAA,4,5,0.00823616612846811,0.08571428571428572,1519.0,14.0,83.5,0.052551225336125454,Hisar_IndstlAr_I (Haryana)
IND125033AAA,2,2,0.0,0.5833333333333334,89.0,5.0,10.0,0.003079038219167324,Hansi_DelRdDPP_D (Haryana)
IND125047AAB,2,2,0.0006230318107560037,0.16666666666666666,701.0,11.0,18.0,0.024251750467823532,Hisar_AgrohDPP_D (Haryana)
IND125050AAA,1,1,0.0,0.5,31.0,2.0,11.5,0.00107247398645154,Fatehabad_SirsaDPP_D (Haryana)
IND125051AAA,3,1,0.002423144810550151,0.16666666666666666,4.0,4.0,16.0,0.00013838374018729547,Ratia_SchdvDPP_D (Haryana)
IND125104AAA,1,1,0.004215045616002172,0.0,173.0,1.0,165.0,0.0059850967631005295,Sirsa_AnprnDPP_D (Haryana)
IND125111AAA,1,1,0.0024198599328133013,0.0,141.0,2.0,25.0,0.004878026841602165,Fatehabad_BhunaDPP_D (Haryana)
IND125121AAA,1,1,0.0024165750550764506,0.0,209.0,3.0,375.0,0.0072305504247861885,Barwala_Central_DPP_1 (Haryana)
IND126102AAA,1,2,0.0018198222662152515,0.16666666666666666,223.0,7.0,52.0,0.007714893515441723,Jind_DC (Haryana)
IND126112AAA,0,1,0.0,0.0,1653.0,16.0,154.5,0.05718708063239985,Safidon_HatRDDPP_D (Haryana)
IND126116AAA,1,1,0.0,0.5,564.0,5.0,59.0,0.01951210736640866,0
IND127021AAA,2,1,0.0018198222662152515,0.16666666666666666,318.0,8.0,52.5,0.01100150734488999,Bhiwani_DC (Haryana)
IND127201AAA,1,1,0.0018165373884784012,0.0,152.0,3.0,9.0,0.005258582127117228,Loharu_BstndDPP_D (Haryana)
IND131021AAA,0,1,0.0,0.0,414.0,58.0,25.5,0.014322717109385081,Sonipat_AmzonDev_V (Haryana)
IND131028AAA,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Sonipat_Kundli_P (Haryana)
IND131028AAB,20,20,0.07177766755238653,0.03437094682230869,28103.0,245.0,169.0,0.9722495626208912,Sonipat_Kundli_H (Haryana)
IND131028AAE,1,1,0.0,0.0,33.0,1.0,61.0,0.0011416658565451877,Sonipat_Central_D_2 (Haryana)
IND131301AAA,2,1,0.0018132525107415502,0.16666666666666666,161.0,2.0,245.5,0.005569945542538642,Gohana_DvlalDPP_D (Haryana)
IND132001AAA,2,3,0.00060852360075158,0.375,1076.0,6.0,192.0,0.03722522611038248,Karnal (Haryana)
IND132039AAA,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Assandh_MhrjaDPP_D (Haryana)
IND132103AAA,2,2,0.0012154047626347349,0.5,455.0,8.0,37.0,0.01574115044630486,Panipat (Haryana)
IND132103AAB,1,2,0.0,0.5,690.0,8.0,61.0,0.023871195182308468,Panipat_PC (Haryana)
IND133004AAA,0,1,0.0,0.0,216.0,6.0,54.5,0.007472721970113955,Ambala (Haryana)
IND134102AAA,2,1,2.7373981140421955e-07,0.16666666666666666,437.0,16.0,33.0,0.015118423615462031,Kalka_Pinjore_DC (Haryana)
IND134109AAA,0,1,0.0,0.0,5996.0,15.0,82.0,0.20743722654075594,Chandigarh_Panchkula (Chandigarh)
IND134203AAA,1,2,0.0006082498609401759,0.5,466.0,15.0,34.0,0.01612170573181992,Naraingarh_Ward2DPP_D (Haryana)
IND135001AAA,2,1,0.001213214844143501,0.16666666666666666,737.0,12.0,36.0,0.02549720412950919,YamunaNagar_DC (Haryana)
IND136027AAA,1,1,0.0006104397794314096,0.0,802.0,21.0,70.0,0.027745939907552742,Kaithal_DC (Haryana)
IND136118AAA,1,1,0.0018280344605573781,0.0,250.0,22.0,31.5,0.008648983761705968,Kurukshetra_DC (Haryana)
IND136128AAA,1,1,0.0012197845996172023,0.0,480.0,22.0,17.5,0.016606048822475458,Pehowa_WdN14DPP_D (Haryana)
IND140001AAA,1,1,0.0006082498609401759,0.0,473.0,19.0,35.0,0.01636387727714769,RoopNagar_ChotiHvl_DC (Punjab)
IND140118AAA,1,1,0.0006049649832033252,0.0,1094.0,17.0,38.0,0.03784795294122531,AnandprShb_PnjPiara_D (Punjab)
IND140301AAA,1,2,0.0012159522422575432,0.3333333333333333,727.0,40.0,22.0,0.025151244779040953,Chandigarh_Kharar_DC (Chandigarh)
IND140401AAA,2,3,0.0006052387230147293,0.3888888888888889,312.0,7.0,26.0,0.010793931734609047,Rajpura_DC (Punjab)
IND140406AAA,1,1,0.0003038511906586837,0.5,71.0,7.0,19.0,0.0024563113883244946,SirhindFatehgarh_DC (Punjab)
IND140501AAA,1,1,0.0,1.0,379.0,14.0,25.5,0.013111859382746246,Lalru_OnkarDPP_D (Punjab)
IND140603AAA,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Zirakpur_DC (Punjab)
IND140901AAA,2,2,0.0006038700239577083,0.6,992.0,40.0,28.0,0.03431916756644928,Chandigarh_Mullanpr_DC (Chandigarh)
IND141003AAB,0,3,0.0,0.5,506.0,29.0,29.0,0.017505543133692875,Ludhiana_GillChwk_DC (Punjab)
IND141010AAA,0,1,0.0,0.0,9.0,1.0,3.0,0.0003113634154214148,Ludhiana_DC (Punjab)
IND141109AAA,2,1,0.0,0.5,411.0,18.0,37.0,0.01421892930424461,Raikot_DC (Punjab)
IND141115AAA,2,1,0.0006055124628261335,0.3333333333333333,204.0,14.0,8.5,0.007057570749552069,Machhiwara_MnBzrDPP_D (Punjab)
IND142001AAB,2,2,0.0018006604794169562,0.6666666666666666,1334.0,30.0,32.0,0.04615097735246304,Moga_DPC (Punjab)
IND142026AAA,1,2,0.0,0.5,348.0,19.0,29.0,0.012039385396294707,Jagraon_DC (Punjab)
IND142401AAA,2,1,0.0,0.5,115.0,6.0,43.5,0.003978532530384745,Khanna_DC (Punjab)
IND143001AAA,3,1,0.0,1.0,1572.0,19.0,75.0,0.054384809893607125,Amritsar_DPC (Punjab)
IND144001AAA,1,1,0.0,0.5,332.0,16.0,32.0,0.011485850435545524,Jalandhar_DC (Punjab)
IND144001AAB,5,5,0.005447422246943969,0.2073170731707317,3155.0,58.0,17.0,0.1091501750727293,Jalandhar_DPC (Punjab)
IND144001AAC,0,2,0.0,1.0,3337.0,27.0,171.0,0.11544663525125125,Jalandhar_Sodal Road (Punjab)
IND144040AAA,2,1,0.001209382486783842,0.3333333333333333,213.0,10.0,17.0,0.007368934164973483,Nakodar_ChowkDPP_D (Punjab)
IND144401AAB,1,1,0.0,0.0,192.0,17.0,13.0,0.006642419528990183,Phagwara_Lovely_D (Punjab)
IND144514AAA,1,2,0.0006077023813173674,0.5,136.0,6.0,7.5,0.0047050471663680465,Nawanshahr_DC (Punjab)
IND144527AAA,0,1,0.0,0.0,118.0,4.0,4.5,0.0040823203355252165,Garhshnker_Jagrata_D (Punjab)
IND144601AAA,1,2,0.0012159522422575432,0.3333333333333333,46.0,3.0,19.0,0.0015914130121538978,Kapurthala_DC (Punjab)
IND145001AAA,1,2,0.0,0.0,166.0,8.0,26.0,0.005742925217772762,Pathankot_DC (Punjab)
IND147001AAB,2,2,0.0006055124628261336,0.0,1073.0,13.0,47.0,0.03712143830524201,Patiala (Punjab)
IND147001AAD,2,3,0.0024302620456466612,0.05555555555555555,790.0,7.0,38.0,0.027330788686990855,Patiala_GainMrkt_L (Punjab)
IND147101AAA,2,2,0.0,1.0,430.0,10.0,20.5,0.014876252070134263,Samana_PODPP_D (Punjab)
IND147105AAA,2,2,0.0,1.0,4104.0,8.0,161.0,0.14198171743216517,Patran_MheshNGR_D (Punjab)
IND147201AAA,2,1,1.6424388684253174e-06,0.16666666666666666,35.0,7.0,34.0,0.0012108577266388353,Nabha_Sahni_D (Punjab)
IND147301AAA,2,2,0.0003038511906586837,0.5,26.0,2.0,32.0,0.0008994943112174207,Mandi_Gobindgarh_DC (Punjab)
IND148001AAA,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Sangrur_DC (Punjab)
IND148023AAA,2,2,0.0012197845996172023,0.08333333333333333,38.0,3.0,19.0,0.001314645531779307,Malerkotla_DC (Punjab)
IND148024AAB,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Dhuri_DMComDPP_D (Punjab)
IND148028AAA,0,2,0.0,0.0,542.0,12.0,21.5,0.018750996795378536,Sunam_DC (Punjab)
IND148101AAA,1,1,0.0006082498609401759,0.5,16.0,5.0,27.0,0.0005535349607491819,Barnala_DC (Punjab)
IND148102AAA,1,1,0.0006049649832033252,0.5,48.0,1.0,121.0,0.0016606048822475458,Bhadaur_BChwkDPP_D (Punjab)
IND151001AAA,6,4,0.007557408713247693,0.06976744186046512,2283.0,51.0,67.0,0.0789825197118989,Bhatinda_DPC (Punjab)
IND151103AAA,1,1,0.0,0.0,779.0,2.0,48.5,0.026950233401475794,RampuraPhul_DC (Punjab)
IND151302AAA,1,1,0.0012159522422575432,0.0,-115.0,16.0,16.0,-0.003978532530384745,TalwandiSabo_Wardno3_D (Punjab)
IND151505AAA,1,1,0.0012126673645206927,0.0,84.0,5.0,8.0,0.002906058543933205,Mansa_GreenVly_D (Punjab)
IND151506AAA,1,1,0.001209382486783842,0.0,1056.0,18.0,245.0,0.036533307409446006,Jhunir_BhaRDDPP_D (Punjab)
IND152024AAA,1,1,0.0006082498609401759,0.5,45.0,2.0,16.5,0.001556817077107074,Jalalabad_Muktsar_D (Punjab)
IND152026AAA,6,7,0.006371020370621806,0.10135135135135136,8854.0,37.0,59.0,0.30631240890457856,Muktsar_DPC (Punjab)
IND152101AAA,1,1,0.0,0.0,74.0,2.0,580.0,0.0025600991934649664,Giddarbaha_DC (Punjab)
IND152107AAA,2,1,0.0,1.0,64.0,1.0,611.0,0.0022141398429967275,Malout_DC (Punjab)
IND152116AAA,1,2,0.0,1.0,61.0,2.0,336.5,0.0021103520378562557,Abohar_DC (Punjab)
IND152123AAA,1,1,0.0006049649832033252,0.5,74.0,1.0,541.0,0.0025600991934649664,Fazilka_GndhiChk_D (Punjab)
IND160002AAC,32,29,0.08264300419812791,0.028421633554083885,43111.0,370.0,133.5,1.491465355803624,Chandigarh_Mehmdpur_H (Punjab)
IND160002AAD,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Chandigarh_Mehmdpur_P (Punjab)
IND160003AAA,1,1,0.0,0.0,68.0,1.0,382.0,0.0023525235831840232,Chandigarh (Chandigarh)
IND160055AAA,2,1,0.0,1.0,296.0,21.0,47.0,0.010240396773859866,Chandigarh_Mohali (Chandigarh)
IND160102AAC,1,1,0.0,0.0,1029.0,28.0,104.5,0.03559921716318176,Chandigarh_Raiprvlg_L (Chandigarh)
IND160102AAD,0,2,0.0,0.0,386.0,15.0,41.0,0.013354030928074013,Chandigarh_Raiprkln_C (Chandigarh)
IND173025AAA,1,1,0.0012099299664066504,0.5,1571.0,11.0,52.0,0.0543502139585603,PaontSahib_Gurudwar_D (Himachal Pradesh)
IND173212AAA,2,4,0.0015178872542363974,0.2692307692307692,702.0,9.0,44.0,0.024286346402870355,Solan_MohanPrk_D (Himachal Pradesh)
IND173220AAA,1,2,0.0,0.5,143.0,3.0,17.0,0.004947218711695813,Parwanoo_Central_D_1 (Himachal Pradesh)
IND174001AAA,2,1,0.003634717215825227,0.0,667.0,15.0,44.0,0.02307548867623152,BilaspurHP_Indsarea_D (Himachal Pradesh)
IND174021AAA,0,1,0.0,0.0,357.0,12.0,10.5,0.012350748811716121,Ghumarwin_Gndhichk_D (Himachal Pradesh)
IND174101AAB,0,2,0.0,0.0,1326.0,12.0,27.5,0.04587420987208845,Nalagarh_Central_DPP_2 (Himachal Pradesh)
IND174103AAA,4,1,0.0009068999951821794,0.3888888888888889,675.0,6.0,36.0,0.02335225615660611,Baddi_ByePass_D (Himachal Pradesh)
IND174307AAA,1,1,0.0,0.5,158.0,17.0,19.0,0.005466157737398171,Bangana_Bhaleti_D (Himachal Pradesh)
IND175001AAA,1,1,0.003628147460351526,0.0,1271.0,17.0,43.0,0.04397143344451314,Mandi_PlaceCol_D (Himachal Pradesh)
IND175015AAA,1,1,0.0012121198848978841,0.0,10899.0,13.0,42.0,0.37706109607533334,JognderNgr_Dhelu_D (Himachal Pradesh)
IND175018AAA,1,1,0.0036314323380883763,0.0,510.0,16.0,20.0,0.01764392687388017,SundarNgr_Bhogpur_D (Himachal Pradesh)
IND175101AAA,1,1,0.003624862582614675,0.0,1357.0,4.0,31.0,0.04694668385853999,Kullu_AkhraBzr_D (Himachal Pradesh)
IND176001AAA,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Kangra_Gurkhari_D (Himachal Pradesh)
IND176001AAB,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Kangra_Central_D_2 (Himachal Pradesh)
IND176041AAA,2,0,0.0,0.5,0.0,0.0,0.0,0.0,Bhota_BpassDPP_D (Himachal Pradesh)
IND176048AAA,1,1,0.0006066074220717505,0.0,1016.0,11.0,5.0,0.03514947000757305,Jahu_Sulgwan_D (Himachal Pradesh)
IND176061AAA,1,1,0.0006060599424489421,0.0,1125.0,2.0,32.0,0.03892042692767685,Palampur_Cnsrvila_D (Himachal Pradesh)
IND176110AAB,1,1,0.0006066074220717505,0.0,278.0,9.0,16.0,0.009617669943017035,Sujanpur_SainkSCL_D (Himachal Pradesh)
IND176201AAA,1,1,0.0,0.0,410.0,9.0,8.0,0.014184333369197786,Jassur_AadiDPP_D (Himachal Pradesh)
IND176215AAA,0,1,0.0,0.0,106.0,3.0,58.0,0.00366716911496333,Dharamshala_GrudwrRd_D (Himachal Pradesh)
IND176303AAA,2,1,0.0,0.0,2627.0,10.0,20.5,0.0908835213680063,Dalhousie_Banikhet_D (Himachal Pradesh)
IND176310AAA,1,1,0.0,0.0,11464.0,13.0,30.0,0.39660779937678886,Chamba_Bangotu_D (Himachal Pradesh)
IND177001AAA,0,1,0.0,0.0,142.0,7.0,31.0,0.004912622776648989,Hamirpur_GutmgrCl_D (Himachal Pradesh)
IND177033AAA,1,1,0.0012121198848978841,0.0,6706.0,18.0,90.0,0.2320003404240009,Nadaun_Ward6_D (Himachal Pradesh)
IND177101AAA,1,2,0.0,0.0,96.0,3.0,33.0,0.0033212097644950917,DehraGopipur_Central_D_1 (Himachal Pradesh)
IND177203AAA,0,1,0.0,0.0,109.0,3.0,24.0,0.0037709569201038015,Amb_Adrshngr_D (Himachal Pradesh)
IND181152AAA,3,1,0.00030330371103587524,0.8,74.0,5.0,23.0,0.0025600991934649664,Jammu_TrnptNgr_L (Jammu & Kashmir)
IND181152AAB,3,3,0.001213214844143501,0.3076923076923077,801.0,12.0,63.0,0.027711343972505922,Jammu_Central_I_1 (Jammu & Kashmir)
IND181201AAB,1,1,0.0,0.0,802.0,8.0,96.0,0.027745939907552742,Akhnoor_ThthiCwk_D (Jammu & Kashmir)
IND184104AAA,2,4,0.0015165185551793763,0.6153846153846154,987.0,12.0,22.0,0.03414618789121516,Kathua_BOB_D (Jammu & Kashmir)
IND184121AAA,3,4,0.0006060599424489421,0.4444444444444444,1460.0,10.0,23.5,0.050510065168362844,Samba_Wardno13_D (Jammu & Kashmir)
IND201001AAA,1,1,0.0,0.0,135.0,5.0,24.0,0.0046704512313212225,Ghaziabad_Patel Nagar (Uttar Pradesh)
IND201001AAC,2,2,7.639652369426096e-05,0.5,198.0,3.0,75.0,0.006849995139271126,Ghaziabad_Central_L_8 (Uttar Pradesh)
IND201005AAA,1,1,0.0,0.0,32.0,1.0,19.0,0.0011070699214983637,Ghaziabad_RjndrNgr_DC (Uttar Pradesh)
IND201007AAA,8,5,0.005658230579229276,0.08904109589041095,799.0,21.0,58.0,0.027642152102412273,GZB_Mohan_Nagar_DPC (Uttar Pradesh)
IND201007AAB,1,3,0.0032208512984860716,0.3,506.0,17.0,76.0,0.017505543133692875,Ghaziabad_MohanNgr_C (Uttar Pradesh)
IND201204AAA,1,1,0.0,1.0,96.0,6.0,5.5,0.0033212097644950917,Modinagar_SikriKla_DC (Uttar Pradesh)
IND201301AAD,1,1,0.0,0.0,305.0,2.0,41.5,0.01055176018928128,NOI_RPC (Delhi)
IND201301AAF,8,3,0.002453803669427424,0.05660377358490566,1167.0,32.0,52.5,0.04037345619964345,Noida_Sec 02_DPC (Uttar Pradesh)
IND201301AAL,2,2,0.0006153670960366856,0.0,237.0,16.0,91.0,0.008199236606097258,Dadri_ICDCant_D (Uttar Pradesh)
IND201301AAM,1,1,0.0,0.0,3059.0,27.0,100.0,0.10582896530823421,Noida_Sector63_L (Uttar Pradesh)
