source_center,destination_center,median_delay_factor,median_delay_minutes,median_hub_processing,median_osrm_distance,n_legs,median_delay_factor_Carting,median_delay_factor_FTL,median_delay_factor_midday,median_delay_factor_peak-am,median_delay_factor_peak-pm,median_delay_factor_pre-dawn
IND000000AAL,IND411033AAA,2.6950000000000003,47.5,87.5,24.50055,18,2.6950000000000003,,2.76,3.3846153846153846,2.4166666666666665,2.08
IND000000AAQ,IND700028AAB,6.071428571428571,71.0,302.0,13.90065,2,6.071428571428571,,,,,6.071428571428571
IND000000AAS,IND783370AAC,1.7666666666666666,23.0,38.0,41.7822,9,,1.7666666666666666,1.7666666666666666,,2.6666666666666665,
IND000000AAZ,IND444203AAA,6.020833333333333,241.0,33.0,67.4982,1,,6.020833333333333,,,,6.020833333333333
IND000000AAZ,IND444303AAA,4.0,120.0,14.0,53.7322,1,,4.0,,4.0,,
IND000000ABA,IND683565AAA,1.0952380952380951,2.0,41.0,18.2372,7,1.0952380952380951,,,,,1.0952380952380951
IND000000ABD,IND562132AAA,1.704054054054054,260.5,67.5,443.66679999999997,12,,1.704054054054054,,1.6819407008086251,,1.7081081081081082
IND000000ABG,IND501359AAF,7.0,163.0,48.0,32.6832,11,7.0,,7.0,,,
IND000000ACA,IND140406AAA,1.7567567567567568,28.0,209.0,51.5829,2,,1.7567567567567568,,,1.7567567567567568,
IND000000ACA,IND142001AAB,1.6428571428571428,39.0,85.0,76.222,9,,1.6428571428571428,1.6428571428571428,,,
IND000000ACA,IND142401AAA,1.9210526315789473,21.0,184.0,27.6177,12,,1.9210526315789473,,,2.0,1.6842105263157894
IND000000ACA,IND143001AAA,1.7027027027027026,78.0,37.0,155.23260000000002,1,,1.7027027027027026,1.7027027027027026,,,
IND000000ACA,IND144001AAB,1.6041666666666667,30.0,67.0,69.4616,17,,1.6041666666666667,1.6041666666666667,,,
IND000000ACA,IND144514AAA,1.8174603174603172,51.5,130.5,85.45885,12,,1.8174603174603172,,,1.8174603174603172,
IND000000ACA,IND147301AAA,1.7037037037037035,19.0,179.0,37.1418,3,,1.7037037037037035,,,1.7037037037037035,
IND000000ACA,IND152026AAA,1.5299145299145298,62.0,142.0,154.5822,1,,1.5299145299145298,1.5299145299145298,,,
IND000000ACA,IND160002AAC,2.064516129032258,66.0,107.0,88.7968,71,1.8309859154929575,2.07258064516129,2.314516129032258,1.9349550502379693,1.9837387625594922,2.064516129032258
IND000000ACB,IND000000AEL,1.7704918032786885,47.0,119.0,60.6693,23,1.7704918032786885,,1.9048859126984126,,1.5723393182409575,3.7936507936507935
IND000000ACB,IND110024AAA,2.07658371040724,71.5,124.5,59.611999999999995,6,2.07658371040724,,2.07658371040724,,,
IND000000ACB,IND110030AAD,1.6726844583987441,34.0,121.5,49.427800000000005,28,1.6726844583987441,,1.58,,1.807692307692308,2.522745098039216
IND000000ACB,IND110037AAK,1.8157894736842104,31.0,125.0,38.8098,39,1.8157894736842104,,1.9078947368421053,,1.794871794871795,
IND000000ACB,IND110043AAA,1.725,29.0,66.0,38.085800000000006,17,1.725,,1.6756756756756757,,2.5875000000000004,2.3846153846153846
IND000000ACB,IND110043AAC,1.945454545454545,52.0,40.0,52.015,9,1.945454545454545,,2.663636363636363,,1.7857142857142858,
IND000000ACB,IND110052AAA,1.500324464633355,34.0,106.5,65.72460000000001,2,1.500324464633355,,,,1.500324464633355,
IND000000ACB,IND110064AAA,1.6032786885245902,36.0,106.5,55.7743,48,1.6032786885245902,,1.6551724137931034,,1.271551724137931,2.189655172413793
IND000000ACB,IND110085AAB,1.622366110623354,42.0,134.5,65.32855,24,1.622366110623354,,1.6029411764705883,,1.4782608695652173,2.3043478260869565
IND000000ACB,IND110092AAC,1.6575342465753424,48.0,143.0,69.59060000000001,5,1.6575342465753424,,1.7534246575342465,,1.5135135135135136,
IND000000ACB,IND110095AAB,1.9357928047968023,73.0,136.5,71.63884999999999,36,1.9357928047968023,,1.0584415584415585,,1.0909090909090908,3.2911392405063293
IND000000ACB,IND121002AAB,1.876923076923077,57.0,116.0,77.75919999999999,57,1.876923076923077,,2.515151515151515,,1.6323529411764706,2.0
IND000000ACB,IND121004AAB,1.796875,51.0,69.0,77.9212,31,1.796875,,1.71875,,1.7121212121212122,2.121212121212121
IND000000ACB,IND122001AAA,1.7272727272727273,25.0,66.0,35.4615,57,1.7272727272727273,,1.838235294117647,1.7945378151260505,1.4201680672268908,1.9722222222222223
IND000000ACB,IND122015AAC,2.4449579831932775,50.0,160.5,35.485749999999996,2,2.4449579831932775,,,,,2.4449579831932775
IND000000ACB,IND124103AAA,1.8333333333333333,40.0,169.0,49.3821,13,,1.8333333333333333,1.891304347826087,,1.8333333333333333,
IND000000ACB,IND124112AAA,2.157303370786517,103.0,81.0,112.5815,7,,2.157303370786517,,2.157303370786517,,
IND000000ACB,IND125001AAA,2.201492537313433,161.0,142.0,170.2434,15,,2.201492537313433,1.7827342047930284,2.237037037037037,,
IND000000ACB,IND125005AAA,1.9522058823529411,129.5,142.0,170.56535,4,,1.9522058823529411,1.9522058823529411,,,
IND000000ACB,IND125033AAA,2.286087570621469,153.0,101.0,152.07659999999998,2,,2.286087570621469,,2.286087570621469,,
IND000000ACB,IND127021AAA,1.926042604260426,92.5,132.0,124.36105,2,,1.926042604260426,1.8217821782178216,,2.0303030303030303,
IND000000ACB,IND131028AAB,2.074076147816349,102.0,171.5,104.6878,92,2.074076147816349,,2.333333333333333,2.0309278350515463,2.0412371134020617,2.0
IND000000ACB,IND160002AAC,2.205188679245283,255.5,354.5,280.28414999999995,58,,2.205188679245283,2.0260663507109005,2.2796208530805684,2.161137440758294,2.3160377358490565
IND000000ACB,IND201001AAC,1.8736263736263736,79.5,83.0,87.99020000000002,4,1.8736263736263736,,1.978021978021978,,1.8461538461538465,
IND000000ACB,IND201007AAA,1.5974025974025974,46.0,75.0,72.811,9,1.5974025974025974,,1.7148302148302148,,1.155844155844156,1.722111222111222
IND000000ACB,IND201301AAF,1.425,34.0,77.0,75.2903,9,1.425,,1.6730769230769231,,1.205128205128205,1.9780448717948718
IND000000ACB,IND201301AAM,2.6202531645569622,130.0,131.0,92.0435,39,2.6202531645569622,,3.347560975609756,,2.5181547619047624,2.6202531645569622
IND000000ACB,IND209304AAA,2.2803738317757007,411.0,193.0,444.3207,15,,2.2803738317757007,,,2.2710280373831777,2.289719626168224
IND000000ACB,IND282002AAD,1.905109489051095,124.0,163.0,183.2081,9,,1.905109489051095,,1.905109489051095,,
IND000000ACB,IND301001AAB,1.7142857142857142,65.0,144.0,115.6808,6,,1.7142857142857142,1.7142857142857142,1.8137725920841912,,
IND000000ACB,IND301705AAA,3.75,154.0,207.0,62.9226,1,,3.75,,,3.75,
IND000000ACB,IND302014AAA,1.8794117647058823,149.5,209.0,221.2688,30,,1.8794117647058823,1.906512418949084,1.893821789070658,,1.8638655462184872
IND000000ACB,IND302022AAD,1.6913702007749207,117.0,129.0,221.44150000000002,20,,1.6913702007749207,1.6875066435176984,,1.77376607731283,
IND000000ACB,IND328001AAA,1.818181818181818,162.0,184.0,244.709,5,,1.818181818181818,,1.818181818181818,,
IND000000ACB,IND382430AAB,1.860759493670886,544.0,174.0,873.1134000000001,17,,1.860759493670886,1.7876386687797148,,1.8678797468354431,
IND000000ACB,IND390022AAA,1.7827338129496404,544.0,156.0,913.3769,11,,1.7827338129496404,,,1.7827338129496404,
IND000000ACB,IND411033AAA,1.7695691890617633,776.5,158.0,1361.7046,22,,1.7695691890617633,,,1.7695691890617633,1.7297029702970297
IND000000ACB,IND421302AAG,1.9273858921161824,894.0,256.0,1322.4025,33,,1.9273858921161824,1.921079958463136,1.9958463136033229,1.944412061234491,1.8295218295218296
IND000000ACB,IND462022AAA,1.8545841853631164,502.5,167.0,813.9573,18,,1.8545841853631164,,,1.7023809523809523,1.859083191850594
IND000000ACB,IND474003AAA,4.475174978127734,881.5,236.5,304.9602,2,,4.475174978127734,,4.475174978127734,,
IND000000ACB,IND501359AAE,1.909871244635193,1061.0,247.0,1562.7023000000002,29,,1.909871244635193,2.093525423479266,,1.8935975677088317,1.8817480719794344
IND000000ACB,IND521225AAB,1.9493374902572096,1218.0,341.0,1728.3344,11,,1.9493374902572096,,,,1.9493374902572096
IND000000ACB,IND562132AAA,1.852207683965296,1320.5,193.0,2065.06305,66,,1.852207683965296,1.9132449127906976,1.8458498023715413,1.8665364583333333,1.827633361504062
IND000000ACB,IND600056AAB,1.8605590062111803,1385.5,250.5,2190.2241,14,,1.8605590062111803,,1.8773291925465838,,1.845031055900621
IND000000ACB,IND712311AAA,2.032003219425158,1048.0,226.5,1427.93005,48,,2.032003219425158,2.195291268901122,,1.8935960591133003,2.025641025641025
IND000000ACB,IND751002AAB,2.0403087478559176,1213.0,154.0,1638.6996,15,,2.0403087478559176,,,2.0403087478559176,2.0437135579493826
IND000000ACB,IND821115AAB,2.0533625066393597,680.5,183.0,900.8994499999999,18,,2.0533625066393597,,,1.9099378881987576,2.05564142194745
IND000000ACB,IND834002AAB,1.8854289071680377,753.5,205.5,1192.90015,16,,1.8854289071680377,,,1.8871915393654524,1.8854289071680377
IND000000ACB,IND842001AAA,2.047425474254742,773.0,187.0,995.4546,19,,2.047425474254742,,2.0502717391304346,,2.0433604336043354
IND000000ACK,IND501359AAF,3.2739130434782613,51.0,67.0,25.954900000000002,32,3.2739130434782613,,3.2739130434782613,,,
IND000000ACN,IND501359AAF,2.284313725490196,22.5,56.5,21.381,16,2.284313725490196,,2.388888888888889,,1.8611111111111112,
IND000000ACT,IND000000ACB,1.3585526315789473,15.5,148.5,43.6586,100,1.6744186046511629,1.2093023255813953,2.2790697674418605,2.0055555555555555,1.25,1.675
IND000000ACT,IND131028AAB,1.648148148148148,35.0,102.0,43.3454,39,1.648148148148148,,1.7469211822660098,2.0982142857142856,1.4259259259259258,
IND000000ACT,IND160002AAC,2.0372340425531914,195.0,78.0,226.1991,21,,2.0372340425531914,,2.074468085106383,,2.023922700393289
